agno,rbd,nombre_establecimiento,nombre_comuna,nombre_deprov,nombre_region,numero_region,dependencia,area_geografica,estado,latitud,longitud,simce_leng,simce_mate,simce_comp,simce_nat,simce_soc,alumnos_leng,alumnos_mate,alumnos_comp,alumnos_nat,alumnos_soc
2009,5,JOVINA NARANJO FERNANDEZ,ARICA,Arica,DE ARICA Y PARINACOTA  ,15,Municipal,URBANO,FUNCIONANDO,-18.47681892,-70.31337859,233,210,,217,,18,18,,217,
2009,8,COLEGIO INTEGRADO EDUARDO FREI MONTALVA,ARICA,Arica,DE ARICA Y PARINACOTA  ,15,Municipal,URBANO,FUNCIONANDO,-18.48231969,-70.31761582,260,236,,238,,42,44,,238,
2009,9,ESCUELA REPUBLICA DE ISRAEL,ARICA,Arica,DE ARICA Y PARINACOTA  ,15,Municipal,URBANO,FUNCIONANDO,-18.48707952,-70.30227201,273,263,,265,,159,158,,265,
2009,10,ESCUELA REPUBLICA DE FRANCIA,ARICA,Arica,DE ARICA Y PARINACOTA  ,15,Municipal,URBANO,FUNCIONANDO,-18.47439094,-70.30906079,249,232,,231,,36,37,,231,
2009,11,ESC. GRAL. PEDRO LAGOS MARCHANT,ARICA,Arica,DE ARICA Y PARINACOTA  ,15,Municipal,URBANO,FUNCIONANDO,-18.49092829,-70.31153510,239,225,,244,,18,17,,244,
2009,12,ESCUELA GRAL JOSE MIGUEL CARRERA,ARICA,Arica,DE ARICA Y PARINACOTA  ,15,Municipal,URBANO,FUNCIONANDO,-18.49187061,-70.29409698,233,223,,219,,40,40,,219,
2009,13,ESCUELA MANUEL RODRIGUEZ ERDOYZA,ARICA,Arica,DE ARICA Y PARINACOTA  ,15,Municipal,URBANO,FUNCIONANDO,-18.48110017,-70.28467841,248,258,,246,,31,31,,246,
2009,14,ESCUELA ROMULO J. PENA MATURANA,ARICA,Arica,DE ARICA Y PARINACOTA  ,15,Municipal,URBANO,FUNCIONANDO,-18.48123729,-70.28976499,268,237,,250,,21,21,,250,
2009,15,LICEO ARTISTICO DR. JUAN NOE CREVANI,ARICA,Arica,DE ARICA Y PARINACOTA  ,15,Municipal,URBANO,FUNCIONANDO,-18.47209843,-70.30079524,243,218,,225,,28,30,,225,
2009,17,ESCUELA SUBTTE. LUIS CRUZ MARTINEZ,ARICA,Arica,DE ARICA Y PARINACOTA  ,15,Municipal,URBANO,FUNCIONANDO,-18.46728730,-70.29077810,251,275,,261,,17,18,,261,
2009,18,ESC. COMTE. JUAN JOSE SAN MARTIN,ARICA,Arica,DE ARICA Y PARINACOTA  ,15,Municipal,URBANO,FUNCIONANDO,-18.47687809,-70.28764898,245,237,,230,,32,29,,230,
2009,19,ESC. HUMBERTO VALENZUELA GARCIA,ARICA,Arica,DE ARICA Y PARINACOTA  ,15,Municipal,URBANO,FUNCIONANDO,-18.47456255,-70.29195945,219,221,,227,,33,33,,227,
2009,20,ESCUELA TUCAPEL,ARICA,Arica,DE ARICA Y PARINACOTA  ,15,Municipal,URBANO,FUNCIONANDO,-18.47978150,-70.29519947,228,217,,220,,36,36,,220,
2009,21,ESCUELA LINCOYAN,ARICA,Arica,DE ARICA Y PARINACOTA  ,15,Municipal,URBANO,FUNCIONANDO,-18.48369708,-70.30005880,247,223,,232,,12,11,,232,
2009,22,ESCUELA GABRIELA MISTRAL,ARICA,Arica,DE ARICA Y PARINACOTA  ,15,Municipal,URBANO,FUNCIONANDO,-18.44822155,-70.29063558,235,228,,230,,77,77,,230,
2009,25,ESCUELA CENTENARIO,ARICA,Arica,DE ARICA Y PARINACOTA  ,15,Municipal,URBANO,FUNCIONANDO,-18.44008092,-70.29312169,221,209,,208,,44,45,,208,
2009,26,ESCUELA REPUBLICA DE ARGENTINA,ARICA,Arica,DE ARICA Y PARINACOTA  ,15,Municipal,URBANO,FUNCIONANDO,-18.47815872,-70.30387137,258,233,,241,,18,15,,241,
2009,27,ESCUELA ESMERALDA,ARICA,Arica,DE ARICA Y PARINACOTA  ,15,Municipal,URBANO,FUNCIONANDO,-18.48330791,-70.30802044,267,248,,250,,19,17,,250,
2009,28,ESCUELA RICARDO SILVA ARRIAGADA,ARICA,Arica,DE ARICA Y PARINACOTA  ,15,Municipal,URBANO,FUNCIONANDO,-18.48505614,-70.29425417,243,236,,237,,36,36,,237,
2009,29,ESCUELA AMERICA,ARICA,Arica,DE ARICA Y PARINACOTA  ,15,Municipal,URBANO,FUNCIONANDO,-18.47718341,-70.28260370,232,205,,212,,38,38,,212,
2009,31,ESCUELA DARIO SALAS DIAZ,ARICA,Arica,DE ARICA Y PARINACOTA  ,15,Municipal,RURAL,FUNCIONANDO,-18.50065790,-70.25459142,266,234,,239,,21,20,,239,
2009,32,LICEO AGRICOLA JOSE ABELARDO NUNEZ M.,ARICA,Arica,DE ARICA Y PARINACOTA  ,15,Municipal,RURAL,FUNCIONANDO,-18.51926404,-70.17873779,,,,,,10,7,,,
2009,33,ESCUELA CARLOS CONDELL DE LA HAZA,ARICA,Arica,DE ARICA Y PARINACOTA  ,15,Municipal,RURAL,FUNCIONANDO,-18.41711369,-70.22584880,243,226,,236,,15,15,,236,
2009,35,ESCUELA GRAL. MANUEL BAQUEDANO,ARICA,Arica,DE ARICA Y PARINACOTA  ,15,Municipal,RURAL,FUNCIONANDO,-18.45239985,-70.06769958,,,,,,2,3,,,
2009,36,ESCUELA IGNACIO CARRERA PINTO,ARICA,Arica,DE ARICA Y PARINACOTA  ,15,Municipal,RURAL,FUNCIONANDO,-18.49700971,-70.28385936,248,226,,240,,24,26,,240,
2009,38,ESCUELA ESPAÑA,ARICA,Arica,DE ARICA Y PARINACOTA  ,15,Municipal,RURAL,FUNCIONANDO,-18.55881843,-70.10072669,228,231,,222,,29,28,,222,
2009,39,ESCUELA PAMPA ALGODONAL,ARICA,Arica,DE ARICA Y PARINACOTA  ,15,Municipal,RURAL,FUNCIONANDO,-18.57821290,-69.96516894,,,,,,4,4,,,
2009,45,COLEGIO ITALIANO SANTA ANA,ARICA,Arica,DE ARICA Y PARINACOTA  ,15,Particular Subvencionado,URBANO,FUNCIONANDO,-18.48297530,-70.31429675,282,276,,276,,81,81,,276,
2009,50,COLEGIO ADVENTISTA DE ARICA,ARICA,Arica,DE ARICA Y PARINACOTA  ,15,Particular Subvencionado,RURAL,FUNCIONANDO,-18.49332083,-70.27077136,265,249,,272,,50,49,,272,
2009,51,ESCUELA PARTICULAR REPÚBLICA DEL ECUADOR,ARICA,Arica,DE ARICA Y PARINACOTA  ,15,Particular Subvencionado,RURAL,FUNCIONANDO,-18.40026121,-70.31498365,,,,,,3,3,,,
2009,52,LICEO DOMINGO SANTA MARIA,ARICA,Arica,DE ARICA Y PARINACOTA  ,15,Particular Subvencionado,URBANO,FUNCIONANDO,-18.46852853,-70.30350503,305,309,,304,,239,235,,304,
2009,56,COLEGIO SAN MARCOS DE ARICA,ARICA,Arica,DE ARICA Y PARINACOTA  ,15,Particular Subvencionado,URBANO,FUNCIONANDO,-18.46710400,-70.30172348,314,322,,322,,34,33,,322,
2009,59,COLEGIO SAN JORGE,ARICA,Arica,DE ARICA Y PARINACOTA  ,15,Particular Pagado,URBANO,FUNCIONANDO,-18.50215027,-70.24618206,306,317,,305,,39,40,,305,
