agno,rbd,nombre_establecimiento,nombre_comuna,nombre_deprov,nombre_region,numero_region,dependencia,area_geografica,estado,latitud,longitud,nivel_ensenanza,nivel_ensenanza_agregado,numero_alumnos
2006,1,LICEO POLITECNICO ARICA,ARICA,Arica,DE ARICA Y PARINACOTA,15,Municipal,Urbano,Funcionando,-18.48701531,-70.29450564,Enseñanza Media TP Adultos,Enseñanza Media,411
2006,1,LICEO POLITECNICO ARICA,ARICA,Arica,DE ARICA Y PARINACOTA,15,Municipal,Urbano,Funcionando,-18.48701531,-70.29450564,Enseñanza Media TP Jóvenes,Enseñanza Media,1365
2006,2,PARVULARIO LAS ESPIGUITAS,ARICA,Arica,DE ARICA Y PARINACOTA,15,Municipal,Urbano,Funcionando,0.00000000,0.00000000,Educación Parvularia,Educación Parvularia,262
2006,3,ESC. PEDRO VICENTE GUTIERREZ TORRES,ARICA,Arica,DE ARICA Y PARINACOTA,15,Municipal,Rural,Funcionando,0.00000000,0.00000000,Enseñanza Básica Adultos,Enseñanza Básica,405
2006,4,LICEO OCTAVIO PALMA PEREZ,ARICA,Arica,DE ARICA Y PARINACOTA,15,Municipal,Urbano,Funcionando,-18.47420668,-70.30826392,Enseñanza Media HC Jóvenes,Enseñanza Media,1337
2006,5,JOVINA NARANJO FERNANDEZ,ARICA,Arica,DE ARICA Y PARINACOTA,15,Municipal,Urbano,Funcionando,-18.47681892,-70.31337859,Educación Parvularia,Educación Parvularia,22
2006,5,JOVINA NARANJO FERNANDEZ,ARICA,Arica,DE ARICA Y PARINACOTA,15,Municipal,Urbano,Funcionando,-18.47681892,-70.31337859,Enseñanza Básica Niños,Enseñanza Básica,237
2006,5,JOVINA NARANJO FERNANDEZ,ARICA,Arica,DE ARICA Y PARINACOTA,15,Municipal,Urbano,Funcionando,-18.47681892,-70.31337859,Enseñanza Media HC Adultos,Enseñanza Media,220
2006,5,JOVINA NARANJO FERNANDEZ,ARICA,Arica,DE ARICA Y PARINACOTA,15,Municipal,Urbano,Funcionando,-18.47681892,-70.31337859,Enseñanza Media HC Jóvenes,Enseñanza Media,494
2006,7,L. POLI. ANTONIO VARAS DE LA BARRA,ARICA,Arica,DE ARICA Y PARINACOTA,15,Municipal,Urbano,Funcionando,-18.47597064,-70.28821040,Enseñanza Media TP Jóvenes,Enseñanza Media,1519
2006,8,COLEGIO INTEGRADO EDUARDO FREI MONTALVA,ARICA,Arica,DE ARICA Y PARINACOTA,15,Municipal,Urbano,Funcionando,-18.48231969,-70.31761582,Educación Parvularia,Educación Parvularia,97
2006,8,COLEGIO INTEGRADO EDUARDO FREI MONTALVA,ARICA,Arica,DE ARICA Y PARINACOTA,15,Municipal,Urbano,Funcionando,-18.48231969,-70.31761582,Enseñanza Básica Niños,Enseñanza Básica,739
2006,8,COLEGIO INTEGRADO EDUARDO FREI MONTALVA,ARICA,Arica,DE ARICA Y PARINACOTA,15,Municipal,Urbano,Funcionando,-18.48231969,-70.31761582,Enseñanza Media HC Jóvenes,Enseñanza Media,783
2006,9,ESCUELA REPUBLICA DE ISRAEL,ARICA,Arica,DE ARICA Y PARINACOTA,15,Municipal,Urbano,Funcionando,-18.48707952,-70.30227201,Educación Parvularia,Educación Parvularia,226
2006,9,ESCUELA REPUBLICA DE ISRAEL,ARICA,Arica,DE ARICA Y PARINACOTA,15,Municipal,Urbano,Funcionando,-18.48707952,-70.30227201,Enseñanza Básica Niños,Enseñanza Básica,1525
2006,10,ESCUELA REPUBLICA DE FRANCIA,ARICA,Arica,DE ARICA Y PARINACOTA,15,Municipal,Urbano,Funcionando,-18.47439094,-70.30906079,Educación Parvularia,Educación Parvularia,55
2006,10,ESCUELA REPUBLICA DE FRANCIA,ARICA,Arica,DE ARICA Y PARINACOTA,15,Municipal,Urbano,Funcionando,-18.47439094,-70.30906079,Enseñanza Básica Niños,Enseñanza Básica,570
2006,11,ESC. GRAL. PEDRO LAGOS MARCHANT,ARICA,Arica,DE ARICA Y PARINACOTA,15,Municipal,Urbano,Funcionando,-18.49092829,-70.31153510,Educación Parvularia,Educación Parvularia,66
2006,11,ESC. GRAL. PEDRO LAGOS MARCHANT,ARICA,Arica,DE ARICA Y PARINACOTA,15,Municipal,Urbano,Funcionando,-18.49092829,-70.31153510,Enseñanza Básica Niños,Enseñanza Básica,239
2006,12,ESCUELA GRAL JOSE MIGUEL CARRERA,ARICA,Arica,DE ARICA Y PARINACOTA,15,Municipal,Urbano,Funcionando,-18.49187061,-70.29409698,Educación Parvularia,Educación Parvularia,58
2006,12,ESCUELA GRAL JOSE MIGUEL CARRERA,ARICA,Arica,DE ARICA Y PARINACOTA,15,Municipal,Urbano,Funcionando,-18.49187061,-70.29409698,Enseñanza Básica Niños,Enseñanza Básica,596
2006,13,ESCUELA MANUEL RODRIGUEZ ERDOYZA,ARICA,Arica,DE ARICA Y PARINACOTA,15,Municipal,Urbano,Funcionando,-18.48110017,-70.28467841,Educación Parvularia,Educación Parvularia,61
2006,13,ESCUELA MANUEL RODRIGUEZ ERDOYZA,ARICA,Arica,DE ARICA Y PARINACOTA,15,Municipal,Urbano,Funcionando,-18.48110017,-70.28467841,Enseñanza Básica Niños,Enseñanza Básica,363
2006,14,ESCUELA ROMULO J. PENA MATURANA,ARICA,Arica,DE ARICA Y PARINACOTA,15,Municipal,Urbano,Funcionando,-18.48123729,-70.28976499,Educación Parvularia,Educación Parvularia,41
2006,14,ESCUELA ROMULO J. PENA MATURANA,ARICA,Arica,DE ARICA Y PARINACOTA,15,Municipal,Urbano,Funcionando,-18.48123729,-70.28976499,Enseñanza Básica Niños,Enseñanza Básica,270
2006,15,LICEO ARTISTICO DR. JUAN NOE CREVANI,ARICA,Arica,DE ARICA Y PARINACOTA,15,Municipal,Urbano,Funcionando,-18.47209843,-70.30079524,Educación Parvularia,Educación Parvularia,48
2006,15,LICEO ARTISTICO DR. JUAN NOE CREVANI,ARICA,Arica,DE ARICA Y PARINACOTA,15,Municipal,Urbano,Funcionando,-18.47209843,-70.30079524,Enseñanza Básica Niños,Enseñanza Básica,331
2006,15,LICEO ARTISTICO DR. JUAN NOE CREVANI,ARICA,Arica,DE ARICA Y PARINACOTA,15,Municipal,Urbano,Funcionando,-18.47209843,-70.30079524,Enseñanza Media HC Jóvenes,Enseñanza Media,170
2006,16,ESCUELA REGIMIENTO RANCAGUA,ARICA,Arica,DE ARICA Y PARINACOTA,15,Municipal,Urbano,Funcionando,-18.47491659,-70.30883750,Educación Parvularia,Educación Parvularia,30
2006,16,ESCUELA REGIMIENTO RANCAGUA,ARICA,Arica,DE ARICA Y PARINACOTA,15,Municipal,Urbano,Funcionando,-18.47491659,-70.30883750,Enseñanza Básica Niños,Enseñanza Básica,391
2006,17,ESCUELA SUBTTE. LUIS CRUZ MARTINEZ,ARICA,Arica,DE ARICA Y PARINACOTA,15,Municipal,Urbano,Funcionando,-18.46728730,-70.29077810,Educación Parvularia,Educación Parvularia,47
2006,17,ESCUELA SUBTTE. LUIS CRUZ MARTINEZ,ARICA,Arica,DE ARICA Y PARINACOTA,15,Municipal,Urbano,Funcionando,-18.46728730,-70.29077810,Enseñanza Básica Niños,Enseñanza Básica,291
2006,18,ESC. COMTE. JUAN JOSE SAN MARTIN,ARICA,Arica,DE ARICA Y PARINACOTA,15,Municipal,Urbano,Funcionando,-18.47687809,-70.28764898,Educación Parvularia,Educación Parvularia,87
2006,18,ESC. COMTE. JUAN JOSE SAN MARTIN,ARICA,Arica,DE ARICA Y PARINACOTA,15,Municipal,Urbano,Funcionando,-18.47687809,-70.28764898,Enseñanza Básica Niños,Enseñanza Básica,487
2006,19,ESC. HUMBERTO VALENZUELA GARCIA,ARICA,Arica,DE ARICA Y PARINACOTA,15,Municipal,Urbano,Funcionando,-18.47456255,-70.29195945,Educación Parvularia,Educación Parvularia,82
2006,19,ESC. HUMBERTO VALENZUELA GARCIA,ARICA,Arica,DE ARICA Y PARINACOTA,15,Municipal,Urbano,Funcionando,-18.47456255,-70.29195945,Enseñanza Básica Niños,Enseñanza Básica,443
2006,20,ESCUELA TUCAPEL,ARICA,Arica,DE ARICA Y PARINACOTA,15,Municipal,Urbano,Funcionando,-18.47978150,-70.29519947,Educación Parvularia,Educación Parvularia,110
2006,20,ESCUELA TUCAPEL,ARICA,Arica,DE ARICA Y PARINACOTA,15,Municipal,Urbano,Funcionando,-18.47978150,-70.29519947,Enseñanza Básica Niños,Enseñanza Básica,504
2006,21,ESCUELA CARLOS GUIRAO MASSIF,ARICA,Arica,DE ARICA Y PARINACOTA,15,Municipal,Urbano,Funcionando,-18.48369708,-70.30005880,Educación Parvularia,Educación Parvularia,33
2006,21,ESCUELA CARLOS GUIRAO MASSIF,ARICA,Arica,DE ARICA Y PARINACOTA,15,Municipal,Urbano,Funcionando,-18.48369708,-70.30005880,Enseñanza Básica Niños,Enseñanza Básica,156
2006,22,ESCUELA GABRIELA MISTRAL,ARICA,Arica,DE ARICA Y PARINACOTA,15,Municipal,Urbano,Funcionando,-18.44822155,-70.29063558,Educación Parvularia,Educación Parvularia,182
2006,22,ESCUELA GABRIELA MISTRAL,ARICA,Arica,DE ARICA Y PARINACOTA,15,Municipal,Urbano,Funcionando,-18.44822155,-70.29063558,Enseñanza Básica Niños,Enseñanza Básica,953
2006,25,ESCUELA CENTENARIO,ARICA,Arica,DE ARICA Y PARINACOTA,15,Municipal,Urbano,Funcionando,-18.44008092,-70.29312169,Educación Parvularia,Educación Parvularia,120
2006,25,ESCUELA CENTENARIO,ARICA,Arica,DE ARICA Y PARINACOTA,15,Municipal,Urbano,Funcionando,-18.44008092,-70.29312169,Enseñanza Básica Niños,Enseñanza Básica,577
2006,26,ESCUELA REPUBLICA DE ARGENTINA,ARICA,Arica,DE ARICA Y PARINACOTA,15,Municipal,Urbano,Funcionando,-18.47815872,-70.30387137,Educación Parvularia,Educación Parvularia,73
2006,26,ESCUELA REPUBLICA DE ARGENTINA,ARICA,Arica,DE ARICA Y PARINACOTA,15,Municipal,Urbano,Funcionando,-18.47815872,-70.30387137,Enseñanza Básica Niños,Enseñanza Básica,334
2006,27,ESCUELA ESMERALDA,ARICA,Arica,DE ARICA Y PARINACOTA,15,Municipal,Urbano,Funcionando,-18.48330791,-70.30802044,Educación Parvularia,Educación Parvularia,31
2006,27,ESCUELA ESMERALDA,ARICA,Arica,DE ARICA Y PARINACOTA,15,Municipal,Urbano,Funcionando,-18.48330791,-70.30802044,Enseñanza Básica Niños,Enseñanza Básica,255
2006,28,ESCUELA RICARDO SILVA ARRIAGADA,ARICA,Arica,DE ARICA Y PARINACOTA,15,Municipal,Urbano,Funcionando,-18.48505614,-70.29425417,Educación Parvularia,Educación Parvularia,26
2006,28,ESCUELA RICARDO SILVA ARRIAGADA,ARICA,Arica,DE ARICA Y PARINACOTA,15,Municipal,Urbano,Funcionando,-18.48505614,-70.29425417,Enseñanza Básica Adultos,Enseñanza Básica,101
2006,28,ESCUELA RICARDO SILVA ARRIAGADA,ARICA,Arica,DE ARICA Y PARINACOTA,15,Municipal,Urbano,Funcionando,-18.48505614,-70.29425417,Enseñanza Básica Niños,Enseñanza Básica,462
2006,28,ESCUELA RICARDO SILVA ARRIAGADA,ARICA,Arica,DE ARICA Y PARINACOTA,15,Municipal,Urbano,Funcionando,-18.48505614,-70.29425417,Enseñanza Media HC Adultos,Enseñanza Media,203
2006,29,ESCUELA AMERICA,ARICA,Arica,DE ARICA Y PARINACOTA,15,Municipal,Urbano,Funcionando,-18.47718341,-70.28260370,Educación Parvularia,Educación Parvularia,82
2006,29,ESCUELA AMERICA,ARICA,Arica,DE ARICA Y PARINACOTA,15,Municipal,Urbano,Funcionando,-18.47718341,-70.28260370,Enseñanza Básica Niños,Enseñanza Básica,519
2006,30,ESCUELA DR. RICARDO OLEA GUERRA,ARICA,Arica,DE ARICA Y PARINACOTA,15,Municipal,Urbano,Funcionando,0.00000000,0.00000000,Educación Especial,Educación Especial,187
2006,31,ESCUELA DARIO SALAS DIAZ,ARICA,Arica,DE ARICA Y PARINACOTA,15,Municipal,Rural,Funcionando,-18.50065790,-70.25459142,Educación Parvularia,Educación Parvularia,48
2006,31,ESCUELA DARIO SALAS DIAZ,ARICA,Arica,DE ARICA Y PARINACOTA,15,Municipal,Rural,Funcionando,-18.50065790,-70.25459142,Enseñanza Básica Niños,Enseñanza Básica,246
2006,32,LICEO AGRICOLA JOSE ABELARDO NUNEZ M.,ARICA,Arica,DE ARICA Y PARINACOTA,15,Municipal,Rural,Funcionando,-18.51926404,-70.17873779,Educación Parvularia,Educación Parvularia,12
2006,32,LICEO AGRICOLA JOSE ABELARDO NUNEZ M.,ARICA,Arica,DE ARICA Y PARINACOTA,15,Municipal,Rural,Funcionando,-18.51926404,-70.17873779,Enseñanza Básica Niños,Enseñanza Básica,227
2006,32,LICEO AGRICOLA JOSE ABELARDO NUNEZ M.,ARICA,Arica,DE ARICA Y PARINACOTA,15,Municipal,Rural,Funcionando,-18.51926404,-70.17873779,Enseñanza Media TP Jóvenes,Enseñanza Media,166
2006,33,ESCUELA CARLOS CONDELL DE LA HAZA,ARICA,Arica,DE ARICA Y PARINACOTA,15,Municipal,Rural,Funcionando,-18.41711369,-70.22584880,Educación Parvularia,Educación Parvularia,21
2006,33,ESCUELA CARLOS CONDELL DE LA HAZA,ARICA,Arica,DE ARICA Y PARINACOTA,15,Municipal,Rural,Funcionando,-18.41711369,-70.22584880,Enseñanza Básica Niños,Enseñanza Básica,100
2006,35,ESCUELA GRAL. MANUEL BAQUEDANO,ARICA,Arica,DE ARICA Y PARINACOTA,15,Municipal,Rural,Funcionando,-18.45239985,-70.06769958,Enseñanza Básica Niños,Enseñanza Básica,49
2006,36,ESCUELA IGNACIO CARRERA PINTO,ARICA,Arica,DE ARICA Y PARINACOTA,15,Municipal,Rural,Funcionando,-18.49700971,-70.28385936,Educación Parvularia,Educación Parvularia,54
2006,36,ESCUELA IGNACIO CARRERA PINTO,ARICA,Arica,DE ARICA Y PARINACOTA,15,Municipal,Rural,Funcionando,-18.49700971,-70.28385936,Enseñanza Básica Niños,Enseñanza Básica,274
2006,38,ESCUELA ESPA?A,ARICA,Arica,DE ARICA Y PARINACOTA,15,Municipal,Rural,Funcionando,-18.55881843,-70.10072669,Educación Parvularia,Educación Parvularia,38
2006,38,ESCUELA ESPA?A,ARICA,Arica,DE ARICA Y PARINACOTA,15,Municipal,Rural,Funcionando,-18.55881843,-70.10072669,Enseñanza Básica Niños,Enseñanza Básica,224
2006,39,ESCUELA PAMPA ALGODONAL,ARICA,Arica,DE ARICA Y PARINACOTA,15,Municipal,Rural,Funcionando,-18.57821290,-69.96516894,Enseñanza Básica Niños,Enseñanza Básica,29
2006,41,ESCUELA VALLE DE CHACA,ARICA,Arica,DE ARICA Y PARINACOTA,15,Municipal,Rural,Funcionando,-18.82064308,-70.14037802,Enseñanza Básica Niños,Enseñanza Básica,7
2006,42,ESCUELA MOLINOS LLUTA,ARICA,Arica,DE ARICA Y PARINACOTA,15,Municipal,Rural,Funcionando,-18.38174753,-69.94488303,Enseñanza Básica Niños,Enseñanza Básica,5
2006,43,JARDIN INFANTIL CEPILLIN,ARICA,Arica,DE ARICA Y PARINACOTA,15,Particular Subvencionado,Urbano,Funcionando,0.00000000,0.00000000,Educación Parvularia,Educación Parvularia,50
2006,45,COLEGIO ITALIANO SANTA ANA,ARICA,Arica,DE ARICA Y PARINACOTA,15,Particular Subvencionado,Urbano,Funcionando,-18.48297530,-70.31429675,Educación Parvularia,Educación Parvularia,59
2006,45,COLEGIO ITALIANO SANTA ANA,ARICA,Arica,DE ARICA Y PARINACOTA,15,Particular Subvencionado,Urbano,Funcionando,-18.48297530,-70.31429675,Enseñanza Básica Niños,Enseñanza Básica,692
2006,45,COLEGIO ITALIANO SANTA ANA,ARICA,Arica,DE ARICA Y PARINACOTA,15,Particular Subvencionado,Urbano,Funcionando,-18.48297530,-70.31429675,Enseñanza Media HC Jóvenes,Enseñanza Media,284
2006,46,JARDIN INFANTIL SAN ANDRES,ARICA,Arica,DE ARICA Y PARINACOTA,15,Particular Subvencionado,Urbano,Funcionando,0.00000000,0.00000000,Educación Parvularia,Educación Parvularia,18
2006,47,J.  I. KURUMI,ARICA,Arica,DE ARICA Y PARINACOTA,15,Particular Pagado,Urbano,Funcionando,0.00000000,0.00000000,Educación Parvularia,Educación Parvularia,33
2006,49,JARDIN INFANTIL PADRE LUIS GALLARDO,ARICA,Arica,DE ARICA Y PARINACOTA,15,Particular Subvencionado,Urbano,Funcionando,0.00000000,0.00000000,Educación Parvularia,Educación Parvularia,57
2006,50,COLEGIO ADVENTISTA DE ARICA,ARICA,Arica,DE ARICA Y PARINACOTA,15,Particular Subvencionado,Urbano,Funcionando,-18.49332083,-70.27077136,Enseñanza Básica Niños,Enseñanza Básica,386
2006,50,COLEGIO ADVENTISTA DE ARICA,ARICA,Arica,DE ARICA Y PARINACOTA,15,Particular Subvencionado,Urbano,Funcionando,-18.49332083,-70.27077136,Enseñanza Media HC Jóvenes,Enseñanza Media,160
2006,51,ESCUELA PARTICULAR REP?BLICA DEL ECUADOR,ARICA,Arica,DE ARICA Y PARINACOTA,15,Particular Subvencionado,Rural,Funcionando,-18.40026121,-70.31498365,Enseñanza Básica Niños,Enseñanza Básica,10
2006,52,LICEO DOMINGO SANTA MARIA,ARICA,Arica,DE ARICA Y PARINACOTA,15,Particular Subvencionado,Urbano,Funcionando,-18.46852853,-70.30350503,Educación Parvularia,Educación Parvularia,359
2006,52,LICEO DOMINGO SANTA MARIA,ARICA,Arica,DE ARICA Y PARINACOTA,15,Particular Subvencionado,Urbano,Funcionando,-18.46852853,-70.30350503,Enseñanza Básica Niños,Enseñanza Básica,1965
2006,52,LICEO DOMINGO SANTA MARIA,ARICA,Arica,DE ARICA Y PARINACOTA,15,Particular Subvencionado,Urbano,Funcionando,-18.46852853,-70.30350503,Enseñanza Media HC Jóvenes,Enseñanza Media,1608
2006,52,LICEO DOMINGO SANTA MARIA,ARICA,Arica,DE ARICA Y PARINACOTA,15,Particular Subvencionado,Urbano,Funcionando,-18.46852853,-70.30350503,Enseñanza Media TP Jóvenes,Enseñanza Media,200
2006,55,JARDIN INFANTIL MONTESSORI GARDEN,ARICA,Arica,DE ARICA Y PARINACOTA,15,Particular Subvencionado,Urbano,Funcionando,0.00000000,0.00000000,Educación Parvularia,Educación Parvularia,86
2006,56,COLEGIO SAN MARCOS DE ARICA,ARICA,Arica,DE ARICA Y PARINACOTA,15,Particular Subvencionado,Urbano,Funcionando,-18.46710400,-70.30172348,Educación Parvularia,Educación Parvularia,22
2006,56,COLEGIO SAN MARCOS DE ARICA,ARICA,Arica,DE ARICA Y PARINACOTA,15,Particular Subvencionado,Urbano,Funcionando,-18.46710400,-70.30172348,Enseñanza Básica Niños,Enseñanza Básica,277
2006,56,COLEGIO SAN MARCOS DE ARICA,ARICA,Arica,DE ARICA Y PARINACOTA,15,Particular Subvencionado,Urbano,Funcionando,-18.46710400,-70.30172348,Enseñanza Media HC Jóvenes,Enseñanza Media,251
2006,58,JARDIN INFANTIL PETETE J.M. BORGO?O,ARICA,Arica,DE ARICA Y PARINACOTA,15,Particular Subvencionado,Urbano,Funcionando,0.00000000,0.00000000,Educación Parvularia,Educación Parvularia,72
