Rol;Razón Social;Rubro;Imp. Económica;Región;Situación;Estado
300;SOCIEDAD COOPERATIVA DE TRABAJO Y CONSUMO DE DUENOS DE CAMIONES LIMITADA.;Producción y Trabajo.;SI;13 Metropolitana;Activa;Vigente
418;COOPERATIVA FORESTAL DE PRODUCCION Y SERVICIO LIMITADA;Producción y Trabajo.;NO;13 Metropolitana;Activa;Vigente
3384;COOPERATIVA DE TRABAJO PAINE LIMITADA;Producción y Trabajo.;NO;13 Metropolitana;Activa;Vigente
3523;COOPERATIVA DE TRABAJADORES ARTESANOS Y MUEBLISTAS RODOLFO DAETZ LTDA.;Producción y Trabajo.;NO;10 Los Lagos  ;Activa;Vigente
3789;"COOPERATIVA DE TRABAJO ""PROGRAMA DE ECONOMIA DEL TRABAJO LIMITADA"" ""PET LTDA.""";Producción y Trabajo.;NO;13 Metropolitana;Activa;Vigente
3810;COOPERATIVA DE TRABAJO LA CIUDAD EDUCATIVA LIMITADA;Producción y Trabajo.;NO;13 Metropolitana;Activa;Vigente
3866;COOPERATIVA DE TRABAJO TALLERES SOLIDARIOS DE SAN BERNARDO LIMITADA;Producción y Trabajo.;NO;13 Metropolitana;Activa;Vigente
3916;COOPERATIVA DE TRABAJO COLLARAY LIMITADA;Producción y Trabajo.;NO;06 O'Higgins  ;Activa;Vigente
3917;"COOPERATIVA DE TRABAJO TECNOLOGIA Y DESARROLLO INSULAR LTDA. O ""ARCHIPIELAGO""";Producción y Trabajo.;NO;10 Los Lagos  ;Activa;Vigente
3921;COOPERATIVA DE TRABAJO MUJERES FAMILIARES DE PESCADORES ARTESANALES LIMITADA COOPMUF LTDA.;Producción y Trabajo.;NO;04 Coquimbo  ;Activa;Vigente
3944;COOPERATIVA DE TRABAJO CRELAMIN LIMITADA O CRELAMIN LTDA.;Producción y Trabajo.;NO;03 Atacama  ;Activa;Vigente
3949;COOPERATIVA DE TRABAJO PARA EL DESARROLLO ECONOMICO Y SOCIAL LIMITADA - COODES LTDA.;Producción y Trabajo.;NO;13 Metropolitana;Activa;Vigente
3958;COOPERATIVA DE TRABAJO REGIONAL MINERA DON ALEJANDRO HALES LIMITADA;Producción y Trabajo.;NO;13 Metropolitana;Activa;Vigente
3959;"COOPERATIVA DE TRABAJO ESTUDIOS PARA UNA NUEVA EMPRESA LIMITADA ""CENEM LTDA.""";Producción y Trabajo.;NO;13 Metropolitana;Activa;Vigente
4018;"COOPERATIVA DE TRABAJO TECNOLOGIAS AGRARIAS, CAPACITACION Y COMERCIALIZACION LIMITADA, DE SANTIAGO ""EXONAGRO LIMITADA"".";Producción y Trabajo.;NO;13 Metropolitana;Activa;Vigente
4021;COOPERATIVA DE TRABAJO DE ARTESANOS MONTE SAGRADO LIMITADA;Producción y Trabajo.;NO;04 Coquimbo  ;Activa;Vigente
4022;COOPERATIVA DE TRABAJO DE RESPOSTERIA ANDACOLLO LIMITADA, DE SIGLA COOPERATIVA CORAL LTDA.;Producción y Trabajo.;NO;04 Coquimbo  ;Activa;Vigente
4044;"COOPERATIVA DE TRABAJO DE ACUICULTURA CABO TABLAS LIMITADA, DE SIGLA ""CATACOOP LTDA""";Producción y Trabajo.;NO;04 Coquimbo  ;Activa;Vigente
4049;COOPERATIVA DE TRABAJO DE ALIMENTOS ARTESANALES DE LIMARI LIMITADA;Producción y Trabajo.;NO;04 Coquimbo  ;Activa;Vigente
4055;"COOPERATIVA DE TRABAJO ARTESANAL SAN PEDRO LIMITADA DE SIGLA""ARSAPECOOP LTDA""";Producción y Trabajo.;NO;04 Coquimbo  ;Activa;Vigente
4057;COOPERATIVA DE TRABAJO DE PRODUCTORES HORTOFRUTICOLAS Y PRIMORES EL TOME LIMITADA, DE SIGLA HORTOFRUT LTDA.;Producción y Trabajo.;NO;04 Coquimbo  ;Activa;Vigente
4061;COOPERATIVA DE TRABAJO DE CHOFERES DE TRANSPORTE DE CARGA DEL PUERTO DE SAN ANTONIO LIMITADA, DE SIGLA COOPCHOSAN LTDA.;Producción y Trabajo.;NO;05 Valparaíso  ;Activa;Vigente
4065;"COOPERATIVA DE TRABAJO, TALLER LABORAL SOLIDARIO LAGUNILLAS LIMITADA, DE SIGLA ""COOP. LAGUNILLAS LTDA.""";Producción y Trabajo.;NO;04 Coquimbo  ;Activa;Vigente
4066;COOPERATIVA DE TRABAJO, TALLER LABORAL SOLIDARIO EL CHOAPA LIMITADA;Producción y Trabajo.;NO;05 Valparaíso  ;Activa;Vigente
4067;"COOPERATIVA DE TRABAJO Y DESARROLLO SUSTENTABLE DE LA X REGION LTDA., DE SIGLA ""CRISOL LTDA.""";Producción y Trabajo.;NO;10 Los Lagos  ;Activa;Vigente
4085;COOPERATIVA DE TRABAJO PUNTA CHILEN;Producción y Trabajo.;NO;10 Los Lagos  ;Activa;Vigente
4097;COOPERATIVA DE TRABAJO LAS ARAUCARIAS LIMITADA, DE SIGLA ARAUCARIAS LTDA.;Producción y Trabajo.;NO;13 Metropolitana;Activa;Vigente
4100;"COOPERATIVA DE TRABAJO DE MICROEMPRESARIOS ARTESANALES DE COMBARBALA LIMITADA, DE SIGLA ""MARTCOOP LTDA.""";Producción y Trabajo.;NO;04 Coquimbo  ;Activa;Vigente
4101;COOPERATIVA DE TRABAJO CHILOE LIMITADA, DE SIGLA COTRACHI;Producción y Trabajo.;NO;10 Los Lagos  ;Activa;Vigente
4106;COOPERATIVA DE TRABAJO EL ROBLE, DE SIGLA CETER;Producción y Trabajo.;NO;10 Los Lagos  ;Activa;Vigente
