;;;;;;;;;
Hospital Cl¡nico Magallanes;Informaci¢n a Febrero del 2013;;;;;;;;
N§ de Intervenciones Quir£rgicas;;;;;;;;;
;;;;;;;;;
Intervenciones Quir£rgicas;ene-13;feb-13;;;;;;;
NEUROCIRUGIA; 14 ; 16 ;;;;;;;
CIRUGIA OFTALMOLOGICA; 42 ; 55 ;;;;;;;
CIRUGIA OTORRINOLOGICA; 30 ; 47 ;;;;;;;
CIRUGIA DE CABEZA Y CUELLO; 5 ; 3 ;;;;;;;
CIRUGIA PLASTICA Y REPARADORA; 5 ; 5 ;;;;;;;
TEGUMENTOS; 100 ; 62 ;;;;;;;
CIRUGIA CARDIOVASCULAR; 10 ; 16 ;;;;;;;
CIRUGIA TORAXICA; 4 ; 7 ;;;;;;;
CIRUGIA ABDOMINAL; 98 ; 59 ;;;;;;;
CIRUGIA PROCTOLOGICA; 8 ; 6 ;;;;;;;
CIRUGIA UROLOGICA Y SUPRARRENAL; 53 ; 31 ;;;;;;;
CIRUGIA DE LA MAMA; 3 ; 6 ;;;;;;;
CIRUGIA GINECOLOGICA; 35 ; 22 ;;;;;;;
CIRUGIA OBSTETRICA; 83 ; 65 ;;;;;;;
TRAUMATOLOGIA Y ORTOPEDIA; 48 ; 54 ;;;;;;;
ODONTOLOGIA (COD 27-03+COD 27-02-001) Aranc.Fonasa; 73 ; 17 ;;;;;;;
XVI  RETIRO ELEMENTOS OSTEOSINTESIS; 3 ; 4 ;;;;;;;
; 614 ; 475 ;;;;;;;
